mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
6.51 3 2.502e-01 2.631e-05 1.055e-05 5.049e-10 1.176e-14 4.740e-10 
6.51 4 2.528e-01 2.817e-05 1.083e-05 4.686e-10 1.275e-14 4.354e-10 
6.61 1 2.490e-01 2.524e-05 1.044e-05 5.287e-10 1.121e-14 4.988e-10 
6.61 2 2.502e-01 2.631e-05 1.056e-05 5.048e-10 1.176e-14 4.740e-10 
6.61 3 2.501e-01 2.628e-05 1.055e-05 5.055e-10 1.174e-14 4.747e-10 
6.61 4 2.527e-01 2.810e-05 1.082e-05 4.698e-10 1.272e-14 4.367e-10 
6.71 1 2.490e-01 2.522e-05 1.044e-05 5.291e-10 1.121e-14 4.992e-10 
6.71 2 2.502e-01 2.628e-05 1.055e-05 5.055e-10 1.174e-14 4.747e-10 
6.71 3 2.501e-01 2.625e-05 1.054e-05 5.062e-10 1.173e-14 4.754e-10 
6.71 4 2.526e-01 2.804e-05 1.081e-05 4.710e-10 1.268e-14 4.380e-10 
6.81 1 2.490e-01 2.520e-05 1.043e-05 5.294e-10 1.120e-14 4.996e-10 
6.81 2 2.501e-01 2.625e-05 1.054e-05 5.062e-10 1.173e-14 4.754e-10 
6.81 3 2.501e-01 2.622e-05 1.054e-05 5.068e-10 1.171e-14 4.761e-10 
6.81 4 2.525e-01 2.783e-05 1.078e-05 4.768e-10 1.258e-14 4.439e-10 
6.91 1 2.489e-01 2.519e-05 1.043e-05 5.298e-10 1.119e-14 5.000e-10 
6.91 2 2.501e-01 2.622e-05 1.054e-05 5.068e-10 1.171e-14 4.761e-10 
6.91 3 2.500e-01 2.619e-05 1.053e-05 5.074e-10 1.170e-14 4.768e-10 
6.91 4 2.524e-01 2.770e-05 1.078e-05 4.794e-10 1.252e-14 4.467e-10 
7.01 1 2.489e-01 2.517e-05 1.043e-05 5.301e-10 1.118e-14 5.003e-10 
7.01 2 2.500e-01 2.619e-05 1.053e-05 5.075e-10 1.170e-14 4.768e-10 
